Rank,Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Search Query,Suggested Company Website,Source 1 Title,Source 1 URL,Source 2 Title,Source 2 URL,Source 3 Title,Source 3 URL
1,Fresenius Medical Care,FRESENIUS MEDICAL CARE,TRUE,34,Fresenius Medical Care official website,https://www.freseniusmedicalcare.com/en/,Home | Fresenius Medical Care,https://www.freseniusmedicalcare.com/en/,Fresenius Kidney Care - Chronic Kidney Disease and Dialysis Treatment,https://www.freseniuskidneycare.com/,Fresenius,https://www.fresenius.com/
2,Cushman and Wakefield,CUSHMAN AND WAKEFIELD,TRUE,19,Cushman and Wakefield official website,https://www.cushmanwakefield.com/en,Cushman &amp; Wakefield | Commercial Real Estate Brokers &amp; Services ...,https://www.cushmanwakefield.com/en,Cushman &amp; Wakefield | Residential Property Management,https://www.cushwakeliving.com/offices,Who We Are - C&amp;W Services,https://cwservices.com/about/
3,Walmart,WALMART,TRUE,16,Walmart official website,https://www.walmart.com/,Walmart | Save Money. Live better.,https://www.walmart.com/,All Departments - Walmart.com,https://www.walmart.com/all-departments,Manage Account - Track your order - Walmart.com,https://www.walmart.com/account
4,Morning Pointe,MORNING POINTE,TRUE,14,Morning Pointe official website,https://morningpointe.com/,Home | Vibrant Senior Living | Morning Pointe Senior Living,https://morningpointe.com/,Morning Pointe Senior Living - mornetic.com,https://mornetic.com/morning-pointe/,Morning Pointe Senior Living: All 38 Properties,https://www.seniorly.com/providers/morning-pointe-senior-living
5,JLL Property Management,JLL PROPERTY MANAGEMENT,TRUE,10,JLL Property Management official website,https://www.jll.com/en-us/,JLL | Commercial Real Estate and Property Investment,https://www.jll.com/en-us/,JLL Property - Global Commercial Real Estate Listings | JLL,https://www.jllproperty.com/,Commercial properties for rent and sale | JLL Properties,https://property.jll.com/
6,First Federal Bank,FIRST FEDERAL BANK,TRUE,10,First Federal Bank official website,https://www.ffbf.com/,First Federal Bank,https://www.ffbf.com/,Home â€º First Federal Bank,https://www.1stfed.com/,First Federal Bank | Personal &amp; Business Banking,https://www.bankfirstfed.com/
7,CBRE,CBRE,TRUE,9,CBRE official website,https://www.cbre.com/,Global Commercial Real Estate Services | CBRE,https://www.cbre.com/,"CBRE Group, Inc. (CBRE)",https://ir.cbre.com/,CBRE Group - Wikipedia,https://en.wikipedia.org/wiki/CBRE_Group
8,Perfection Services,PERFECTION SERVICES,TRUE,8,Perfection Services official website,http://perfectionfoam.com/,Welcome to Perfection Services,http://perfectionfoam.com/,"About Us - Perfection Services, Inc.",https://www.psipc.com/about-us/,"Perfection Services, Inc. Company Overview, Contact Details ...",https://leadiq.com/c/perfection-services-inc/5a1dbdcd2300005a00bcaa6a
9,Orangetheory Fitness,ORANGETHEORY FITNESS,TRUE,8,Orangetheory Fitness official website,https://www.orangetheory.com/en-us,Group Fitness Classes &amp; Heart Rate-Based Interval Training,https://www.orangetheory.com/en-us,Orangetheory,https://fitnessoffering.orangetheory.com/,Shop Orangetheory,https://www.shoporangetheory.com/
10,Flagship Healthcare Properties,FLAGSHIP HEALTHCARE PROPERTIES,TRUE,8,Flagship Healthcare Properties official website,https://flagshiphp.com/,Flagship HP | Healthcare Real Estate Services,https://flagshiphp.com/,Flagship Healthcare Properties - LinkedIn,https://www.linkedin.com/company/flagshiphp,"Flagship Healthcare Properties - Charlotte, NC - LoopNet",https://www.loopnet.com/company/flagship-healthcare-properties/charlotte-nc/v6zlcbel/
