Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize,Customer Key,Customer Number,Original Name,Source,Last Billing Date (Any Stream)
Keller Warehousing and Packing,KELLER WAREHOUSING AND PACKING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Keller Warehousing & Co-Packing'),,,FALSE,1,CN992233SERV_GP,CN992233,Keller Warehousing & Co-Packing,SERV_GP,2025-11-01 00:00:00
Kenco Logistic Services,KENCO LOGISTIC SERVICES,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Kenco Logistic Services, Llc')",,,FALSE,1,KENCOMECH_GP,KENCO,"Kenco Logistic Services, Llc",MECH_GP,2016-11-01 00:00:00
Kenco Logistics,KENCO LOGISTICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenco Logistics'),,,TRUE,2,DY990942SERV_GP,DY990942,Kenco Logistics,SERV_GP,2025-11-04 00:00:00
Kenco Logistics,KENCO LOGISTICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenco Logistics'),,,TRUE,2,DY991053SERV_GP,DY991053,Kenco Logistics,SERV_GP,2025-11-12 00:00:00
Kenneth C Wood,KENNETH C WOOD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenneth C. Wood'),,,FALSE,1,"WOOD, KENNETHMECH_GP","WOOD, KENNETH",Kenneth C. Wood,MECH_GP,2005-07-01 00:00:00
Kentucky Blood Center,KENTUCKY BLOOD CENTER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kentucky Blood Center Inc'),,,FALSE,1,LX990488SERV_GP,LX990488,Kentucky Blood Center Inc,SERV_GP,2025-12-30 00:00:00
Kentucky Underground Storage,KENTUCKY UNDERGROUND STORAGE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kentucky Underground Storage Inc'),,,FALSE,1,LX950108SERV_GP,LX950108,Kentucky Underground Storage Inc,SERV_GP,2020-10-08 00:00:00
Kentwood Office Furniture,KENTWOOD OFFICE FURNITURE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kentwood Office Furniture'),,,FALSE,1,IN990403SERV_GP,IN990403,Kentwood Office Furniture,SERV_GP,2025-09-01 00:00:00
Kevin Wilson,KEVIN WILSON,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kevin Wilson'),,,FALSE,1,CN992206SERV_GP,CN992206,Kevin Wilson,SERV_GP,2022-10-25 00:00:00
Keyme,KEYME,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Keyme Llc'),,,FALSE,1,CN992095SERV_GP,CN992095,Keyme Llc,SERV_GP,2025-09-01 00:00:00
Ki USA,KI USA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ki Usa'),,,FALSE,1,LX990492SERV_GP,LX990492,Ki Usa,SERV_GP,2025-12-02 00:00:00
Kid City USA Franklin,KID CITY USA FRANKLIN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kid City Usa Franklin'),,,FALSE,1,NV15096SERV_GP,NV15096,Kid City Usa Franklin,SERV_GP,2025-11-01 00:00:00
Kiesland,KIESLAND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kiesland Inc.'),,,FALSE,1,KIESMECH_GP,KIES,Kiesland Inc.,MECH_GP,2011-12-01 00:00:00
Kindeva,KINDEVA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kindeva'),,,FALSE,1,LX990473SERV_GP,LX990473,Kindeva,SERV_GP,2025-12-26 00:00:00
Kkt Chillers,KKT CHILLERS,Commercial Services,HVAC equipment/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,NV15002SERV_GP,NV15002,Kkt Chillers,SERV_GP,2023-03-12 00:00:00
Kppe,KPPE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'K.P.P.E.'),,,FALSE,1,KPPEMECH_GP,KPPE,K.P.P.E.,MECH_GP,2008-09-01 00:00:00
Landform,LANDFORM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Landform'),,,FALSE,1,LANDFORMMECH_GP,LANDFORM,Landform,MECH_GP,2017-07-01 00:00:00
Lasership Dba Ontrac,LASERSHIP DBA ONTRAC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lasership Dba Ontrac'),,,FALSE,1,DY991050SERV_GP,DY991050,Lasership Dba Ontrac,SERV_GP,2025-12-11 00:00:00
Latonia Bulk,LATONIA BULK,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Latonia Bulk Llc'),,,FALSE,1,CN992299SERV_GP,CN992299,Latonia Bulk Llc,SERV_GP,2025-02-24 00:00:00
Lawrence Brothers,LAWRENCE BROTHERS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lawrence Brothers'),,,FALSE,1,WV990277SERV_GP,WV990277,Lawrence Brothers,SERV_GP,2023-01-31 00:00:00
Lemond Bikes,LEMOND BIKES,Commercial Services,Retail/brand (verify),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1,TN992037SERV_GP,TN992037,Lemond Bikes,SERV_GP,2023-02-01 00:00:00
Lemond Composites,LEMOND COMPOSITES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lemond Composites'),,,FALSE,1,TN991813SERV_GP,TN991813,Lemond Composites,SERV_GP,2023-05-10 00:00:00
Lennox Industry Warranty Dept,LENNOX INDUSTRY WARRANTY DEPT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lennox Industry Inc - Warranty Dept'),,,FALSE,1,NV00088SERV_GP,NV00088,Lennox Industry Inc - Warranty Dept,SERV_GP,2022-06-24 00:00:00
Leopardo Companies,LEOPARDO COMPANIES,Commercial Services,Property/contracting (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,LEOPARDOMECH_GP,LEOPARDO,"Leopardo Companies, Inc.",MECH_GP,2026-01-01 00:00:00
Levi Strauss and,LEVI STRAUSS AND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Levi Strauss & Company'),,,FALSE,1,CN960242SERV_GP,CN960242,Levi Strauss & Company,SERV_GP,2022-07-01 00:00:00
Lhp Telematic,LHP TELEMATIC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lhp Telematic'),,,FALSE,1,IN990151SERV_GP,IN990151,Lhp Telematic,SERV_GP,2025-04-15 00:00:00
Lifetime Products,LIFETIME PRODUCTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lifetime Products Inc'),,,FALSE,1,TN992035SERV_GP,TN992035,Lifetime Products Inc,SERV_GP,2025-11-03 00:00:00
Light Source,LIGHT SOURCE,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Light Source, Ltd')",,,FALSE,1,"LIGHT SOURCE, LMECH_GP","LIGHT SOURCE, L","Light Source, Ltd",MECH_GP,2009-11-01 00:00:00
Lima USA,LIMA USA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Lima Usa Inc'),,,FALSE,1,TN991989SERV_GP,TN991989,Lima Usa Inc,SERV_GP,2023-08-01 00:00:00
Louisville Ilal Operations Dba Harmony at Tucker Station,LOUISVILLE ILAL OPERATIONS DBA HARMONY AT TUCKER STATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Louisville Il-Al Operations Llc Dba Harmony At Tucker Station'),,,FALSE,1,LV990475SERV_GP,LV990475,Louisville Il-Al Operations Llc Dba Harmony At Tucker Station,SERV_GP,2023-07-05 00:00:00
Louisville Vegan Jerky,LOUISVILLE VEGAN JERKY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Louisville Vegan Jerky Company'),,,FALSE,1,LV990460SERV_GP,LV990460,Louisville Vegan Jerky Company,SERV_GP,2025-11-01 00:00:00
MA Folkes,MA FOLKES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ma Folkes Company'),,,FALSE,1,MA FOLKESMECH_GP,MA FOLKES,Ma Folkes Company,MECH_GP,2011-04-01 00:00:00
MS Mcclellan and,MS MCCLELLAN AND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ms  Mcclellan & Co'),,,FALSE,1,TN991403SERV_GP,TN991403,Ms  Mcclellan & Co,SERV_GP,2021-06-07 00:00:00
MT and L,MT AND L,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mt&L'),,,FALSE,1,NV00157SERV_GP,NV00157,Mt&L,SERV_GP,2022-11-01 00:00:00
Madison Farm,MADISON FARM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'The Madison Farm'),,,FALSE,1,NV15031SERV_GP,NV15031,The Madison Farm,SERV_GP,2023-01-27 00:00:00
Madisonchampaign Educational Service Center,MADISONCHAMPAIGN EDUCATIONAL SERVICE CENTER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Madison/Champaign Educational Service Center'),,,FALSE,1,DY991074SERV_GP,DY991074,Madison/Champaign Educational Service Center,SERV_GP,2025-11-10 00:00:00
Mantis Innovation,MANTIS INNOVATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mantis Innovation'),,,FALSE,1,CN992305SERV_GP,CN992305,Mantis Innovation,SERV_GP,2025-07-01 00:00:00
Marksbury Farm,MARKSBURY FARM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Marksbury Farm'),,,FALSE,1,LX990410SERV_GP,LX990410,Marksbury Farm,SERV_GP,2022-08-02 00:00:00
Marshall Recreation Center,MARSHALL RECREATION CENTER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Marshall Recreation Center'),,,FALSE,1,WV990224SERV_GP,WV990224,Marshall Recreation Center,SERV_GP,2025-12-04 00:00:00
Martin Brower,MARTIN BROWER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'The Martin Brower Company Llc'),,,FALSE,1,NV15026SERV_GP,NV15026,The Martin Brower Company Llc,SERV_GP,2024-12-01 00:00:00
Mass Marketing,MASS MARKETING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mass Marketing Inc.'),,,FALSE,1,CN890003SERV_GP,CN890003,Mass Marketing Inc.,SERV_GP,2024-12-13 00:00:00
Massey Services,MASSEY SERVICES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Massey Services Inc'),,,FALSE,1,TN992108SERV_GP,TN992108,Massey Services Inc,SERV_GP,2024-01-08 00:00:00
Masters Pharmaceuticals,MASTERS PHARMACEUTICALS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Masters Pharmaceuticals'),,,FALSE,1,MASTERS PHARMMECH_GP,MASTERS PHARM,Masters Pharmaceuticals,MECH_GP,2018-09-01 00:00:00
Mastronardi Berea,MASTRONARDI BEREA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mastronardi Berea Llc'),,,FALSE,1,LX990507SERV_GP,LX990507,Mastronardi Berea Llc,SERV_GP,2025-12-17 00:00:00
Matrix Technologies,MATRIX TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Matrix Technologies'),,,FALSE,1,LV990441SERV_GP,LV990441,Matrix Technologies,SERV_GP,2025-02-01 00:00:00
Max Technical Training,MAX TECHNICAL TRAINING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Max Technical Training'),,,FALSE,1,CN991814SERV_GP,CN991814,Max Technical Training,SERV_GP,2023-10-20 00:00:00
Mayerson the,MAYERSON THE,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Mayerson Company, The')",,,FALSE,1,MAYERSONMECH_GP,MAYERSON,"Mayerson Company, The",MECH_GP,2007-12-01 00:00:00
Mbm Refrigeration,MBM REFRIGERATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mbm Refrigeration'),,,FALSE,1,LX200421SERV_GP,LX200421,Mbm Refrigeration,SERV_GP,2026-01-01 00:00:00
Mch,MCH,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mch Corporation'),,,FALSE,1,TN991457SERV_GP,TN991457,Mch Corporation,SERV_GP,2025-09-30 00:00:00
Mcquay International,MCQUAY INTERNATIONAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mcquay International'),,,FALSE,1,MCQUAY INTMECH_GP,MCQUAY INT,Mcquay International,MECH_GP,2009-11-01 00:00:00
Meco,MECO,Commercial Services,Services/manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN991908SERV_GP,TN991908,Meco Corporation,SERV_GP,2025-12-17 00:00:00
Megacity of Cincinnati,MEGACITY OF CINCINNATI,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,DY991005SERV_GP,DY991005,Megacity Of Cincinnati Llc,SERV_GP,2020-10-19 00:00:00
Mellow River Dba HH2HOME,MELLOW RIVER DBA HH2HOME,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Mellow River Inc Dba Hh2Home'),,,FALSE,1,LV990327SERV_GP,LV990327,Mellow River Inc Dba Hh2Home,SERV_GP,2025-04-01 00:00:00
Metzcor,METZCOR,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,CN992227SERV_GP,CN992227,Metzcor,SERV_GP,2025-10-01 00:00:00
Midpark Knoxville,MIDPARK KNOXVILLE,Commercial Services,Business entity (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN992171SERV_GP,TN992171,"Midpark Knoxville, Llc",SERV_GP,2023-12-20 00:00:00
Midwest Sea Salt,MIDWEST SEA SALT,Commercial Services,Food/wholesale (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,CN992270SERV_GP,CN992270,The Midwest Sea Salt Company,SERV_GP,2025-04-01 00:00:00
Millan Enterprises,MILLAN ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN992100SERV_GP,TN992100,Millan Enterprises Llc,SERV_GP,2022-06-17 00:00:00
Millat Industries,MILLAT INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,DY991163SERV_GP,DY991163,Millat Industries,SERV_GP,2025-07-10 00:00:00
Ml Barnard,ML BARNARD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ml Barnard Inc.'),,,FALSE,1,ML BARNARDMECH_GP,ML BARNARD,Ml Barnard Inc.,MECH_GP,2020-11-01 00:00:00
Momentum,MOMENTUM,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN992231SERV_GP,TN992231,Momentum Inc,SERV_GP,2026-01-01 00:00:00
Monaire,MONAIRE,Commercial Services,HVAC services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,LV990521SERV_GP,LV990521,Monaire Inc,SERV_GP,2025-02-28 00:00:00
Mount Vernon Developmental Center,MOUNT VERNON DEVELOPMENTAL CENTER,Commercial Real Estate,Govt/health (ambiguous),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,MT VERNONMECH_GP,MT VERNON,Mount Vernon Developmental Center,MECH_GP,2006-01-01 00:00:00
Msi Express,MSI EXPRESS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Msi Express, Inc.')",,,FALSE,1,DY991093SERV_GP,DY991093,"Msi Express, Inc.",SERV_GP,2025-11-14 00:00:00
Msp Wellness Billing,MSP WELLNESS BILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Msp Wellness Llc - Billing'),,,FALSE,1,TN991999SERV_GP,TN991999,Msp Wellness Llc - Billing,SERV_GP,2022-06-20 00:00:00
Mueller,MUELLER,Commercial Services,Manufacturing/distribution (too broad),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN991394SERV_GP,TN991394,Mueller Company,SERV_GP,2026-01-01 00:00:00
Murphy,MURPHY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Murphy Company'),,,FALSE,1,DY991166SERV_GP,DY991166,Murphy Company,SERV_GP,2026-01-01 00:00:00
Nasco,NASCO,Commercial Services,Distribution/education supplies (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,NV00172SERV_GP,NV00172,Nasco,SERV_GP,2023-01-01 00:00:00
Nashville Opera Association,NASHVILLE OPERA ASSOCIATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Nashville Opera Association'),,,FALSE,1,NV15100SERV_GP,NV15100,Nashville Opera Association,SERV_GP,2025-11-01 00:00:00
National Bedding,NATIONAL BEDDING,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'National Bedding, Llc.')",,,FALSE,1,NATIONAL BEDDINMECH_GP,NATIONAL BEDDIN,"National Bedding, Llc.",MECH_GP,2015-11-01 00:00:00
Nehemiah,NEHEMIAH,Commercial Services,Nonprofit/education (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,NEHEMIAHMECH_GP,NEHEMIAH,Nehemiah,MECH_GP,2014-12-01 00:00:00
Netfor,NETFOR,Commercial Services,Staffing/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,IN990336SERV_GP,IN990336,Netfor,SERV_GP,2021-09-16 00:00:00
New Riff Distilling,NEW RIFF DISTILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'New Riff Distilling'),,,TRUE,2,CN991964SERV_GP,CN991964,New Riff Distilling,SERV_GP,2025-12-17 00:00:00
New Riff Distilling,NEW RIFF DISTILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'New Riff Distilling'),,,TRUE,2,NEW RIFFMECH_GP,NEW RIFF,New Riff Distilling,MECH_GP,2023-06-01 00:00:00
Nickles Bakery,NICKLES BAKERY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Nickles Bakery'),,,FALSE,1,NICKLES BAKERYMECH_GP,NICKLES BAKERY,Nickles Bakery,MECH_GP,2006-01-01 00:00:00
Nlign Analytics Etegent,NLIGN ANALYTICS ETEGENT,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,CN992283SERV_GP,CN992283,Nlign Analytics Etegent,SERV_GP,2024-04-16 00:00:00
Nnodum Pharmaceuticals,NNODUM PHARMACEUTICALS,Commercial Services,Pharma (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,CN991887SERV_GP,CN991887,Nnodum Pharmaceuticals,SERV_GP,2022-09-15 00:00:00
OMNIA360 Facility Solutions,OMNIA360 FACILITY SOLUTIONS,Commercial Services,Facilities services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,CN992151SERV_GP,CN992151,Omnia360 Facility Solutions Llc,SERV_GP,2024-04-09 00:00:00
Oak Grove Gaming,OAK GROVE GAMING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Oak Grove Gaming'),,,FALSE,1,NV15039SERV_GP,NV15039,Oak Grove Gaming,SERV_GP,2026-01-01 00:00:00
Ohio Valley Chapter Abc,OHIO VALLEY CHAPTER ABC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ohio Valley Chapter Abc'),,,TRUE,2,CN991606SERV_GP,CN991606,Ohio Valley Chapter Abc,SERV_GP,2021-09-01 00:00:00
Ohio Valley Chapter Abc,OHIO VALLEY CHAPTER ABC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ohio Valley Chapter Abc'),,,TRUE,2,OHIO VALLEY ABCMECH_GP,OHIO VALLEY ABC,Ohio Valley Chapter Abc,MECH_GP,2016-01-01 00:00:00
On Display,ON DISPLAY,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,2,CN991937SERV_GP,CN991937,On Display Ltd,SERV_GP,2025-10-01 00:00:00
On Display,ON DISPLAY,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,2,ON DISPLAYMECH_GP,ON DISPLAY,On Display Ltd,MECH_GP,2020-02-01 00:00:00
Optimira Energy,OPTIMIRA ENERGY,Commercial Services,Energy services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,OPTIMIRA ENERGYMECH_GP,OPTIMIRA ENERGY,"Optimira Energy, Inc.",MECH_GP,2007-04-01 00:00:00
Osborn Enterprises,OSBORN ENTERPRISES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Osborn Enterprises'),,,FALSE,1,LV990372SERV_GP,LV990372,Osborn Enterprises,SERV_GP,2023-12-21 00:00:00
Otics USA,OTICS USA,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,TN991799SERV_GP,TN991799,Otics Usa,SERV_GP,2025-12-08 00:00:00
Pam Spraguedave Collins,PAM SPRAGUEDAVE COLLINS,Commercial Services,Person/entity ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,LX990391SERV_GP,LX990391,Pam Sprague/Dave Collins,SERV_GP,2025-08-08 00:00:00
Panorama,PANORAMA,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,PANORAMAMECH_GP,PANORAMA,Panorama,MECH_GP,2011-12-01 00:00:00
Passageways Dba Onboard,PASSAGEWAYS DBA ONBOARD,Commercial Services,Services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,IN990404SERV_GP,IN990404,Passageways Inc Dba Onboard,SERV_GP,2025-08-01 00:00:00
Patriot Armor,PATRIOT ARMOR,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Patriot Armor'),,,FALSE,1,CN992160SERV_GP,CN992160,Patriot Armor,SERV_GP,2025-12-23 00:00:00
Paw Pet Adventures Worldwide,PAW PET ADVENTURES WORLDWIDE,Commercial Services,Pet services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1,CN991389SERV_GP,CN991389,"Paw Pet Adventures Worldwide, Inc.",SERV_GP,2022-07-07 00:00:00
Peace Communications,PEACE COMMUNICATIONS,Commercial Services,Telecom/IT (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,NV00048SERV_GP,NV00048,Peace Communications Llc,SERV_GP,2025-03-01 00:00:00
Pentagon Group,PENTAGON GROUP,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1,LV990356SERV_GP,LV990356,"Pentagon Group, Llc",SERV_GP,2023-08-01 00:00:00
Perfection Group,PERFECTION GROUP,Unknown / Needs Review,Your organization (internal),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,2,PERFMECH_GP,PERF,Perfection Group,MECH_GP,2022-01-01 00:00:00
Perfection Group,PERFECTION GROUP,Unknown / Needs Review,Your organization (internal),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,2,PG1000SERV_GP,PG1000,Perfection Group,SERV_GP,2025-05-23 00:00:00
Perfection Mechanical,PERFECTION MECHANICAL,Unknown / Needs Review,Mechanical contractor (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1,PM1000SERV_GP,PM1000,Perfection Mechanical,SERV_GP,2025-12-10 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFSMECH_GP,PERFS,"Perfection Service, Cincinnati",MECH_GP,2021-08-01 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFLMECH_GP,PERFL,"Perfection Service, Louisville",MECH_GP,2009-03-01 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFECTION COLMECH_GP,PERFECTION COL,Perfection Services Columbus,MECH_GP,2009-05-01 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFIMECH_GP,PERFI,Perfection Services Indiana,MECH_GP,2022-03-01 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFDMECH_GP,PERFD,Perfection Services Of Dayton,MECH_GP,2006-09-01 00:00:00
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8,PERFTMECH_GP,PERFT,"Perfection Services, Tennessee",MECH_GP,2023-11-01 00:00:00
