Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Kkt Chillers,KKT CHILLERS,Commercial Services,HVAC equipment/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Kppe,KPPE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Lemond Bikes,LEMOND BIKES,Commercial Services,Retail/brand (verify),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1
Leopardo Companies,LEOPARDO COMPANIES,Commercial Services,Property/contracting (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Meco,MECO,Commercial Services,Services/manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Megacity of Cincinnati,MEGACITY OF CINCINNATI,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Metzcor,METZCOR,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Midpark Knoxville,MIDPARK KNOXVILLE,Commercial Services,Business entity (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Midwest Sea Salt,MIDWEST SEA SALT,Commercial Services,Food/wholesale (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Millan Enterprises,MILLAN ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Millat Industries,MILLAT INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Momentum,MOMENTUM,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Monaire,MONAIRE,Commercial Services,HVAC services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Mount Vernon Developmental Center,MOUNT VERNON DEVELOPMENTAL CENTER,Commercial Real Estate,Govt/health (ambiguous),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Msp Wellness Billing,MSP WELLNESS BILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Msp Wellness Llc - Billing'),,,FALSE,1
Mueller,MUELLER,Commercial Services,Manufacturing/distribution (too broad),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Murphy,MURPHY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Murphy Company'),,,FALSE,1
Nasco,NASCO,Commercial Services,Distribution/education supplies (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Nashville Opera Association,NASHVILLE OPERA ASSOCIATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Nashville Opera Association'),,,FALSE,1
National Bedding,NATIONAL BEDDING,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'National Bedding, Llc.')",,,FALSE,1
Nehemiah,NEHEMIAH,Commercial Services,Nonprofit/education (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Netfor,NETFOR,Commercial Services,Staffing/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
New Riff Distilling,NEW RIFF DISTILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'New Riff Distilling'),,,TRUE,2
Nickles Bakery,NICKLES BAKERY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Nickles Bakery'),,,FALSE,1
Nlign Analytics Etegent,NLIGN ANALYTICS ETEGENT,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Nnodum Pharmaceuticals,NNODUM PHARMACEUTICALS,Commercial Services,Pharma (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
OMNIA360 Facility Solutions,OMNIA360 FACILITY SOLUTIONS,Commercial Services,Facilities services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Oak Grove Gaming,OAK GROVE GAMING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Oak Grove Gaming'),,,FALSE,1
Ohio Valley Chapter Abc,OHIO VALLEY CHAPTER ABC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ohio Valley Chapter Abc'),,,TRUE,2
On Display,ON DISPLAY,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,2
Optimira Energy,OPTIMIRA ENERGY,Commercial Services,Energy services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Osborn Enterprises,OSBORN ENTERPRISES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Osborn Enterprises'),,,FALSE,1
Otics USA,OTICS USA,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Pam Spraguedave Collins,PAM SPRAGUEDAVE COLLINS,Commercial Services,Person/entity ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Panorama,PANORAMA,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Passageways Dba Onboard,PASSAGEWAYS DBA ONBOARD,Commercial Services,Services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Patriot Armor,PATRIOT ARMOR,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Patriot Armor'),,,FALSE,1
Paw Pet Adventures Worldwide,PAW PET ADVENTURES WORLDWIDE,Commercial Services,Pet services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1
Peace Communications,PEACE COMMUNICATIONS,Commercial Services,Telecom/IT (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Pentagon Group,PENTAGON GROUP,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Perfection Group,PERFECTION GROUP,Unknown / Needs Review,Your organization (internal),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,2
Perfection Mechanical,PERFECTION MECHANICAL,Unknown / Needs Review,Mechanical contractor (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8
Peterson,PETERSON,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'The Peterson Company, Llc')",,,FALSE,1
Petria Lowenstine,PETRIA LOWENSTINE,Commercial Services,Professional services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Phillips Edison and,PHILLIPS EDISON AND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Phillips Edison & Company'),,,FALSE,1
Pioneer Vocational Industrial Services,PIONEER VOCATIONAL INDUSTRIAL SERVICES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Pioneer Vocational Industrial Services Inc'),,,FALSE,1
Pitt and Frank,PITT AND FRANK,Commercial Services,Professional services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Planet Xchange,PLANET XCHANGE,Commercial Services,Recycling/IT? (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Pointe at Lifespring,POINTE AT LIFESPRING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'The Pointe At Lifespring'),,,FALSE,1
Powerhouse Now Central Region,POWERHOUSE NOW CENTRAL REGION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Powerhouse Now - Central Region'),,,FALSE,1
Pro Oncall Technologies,PRO ONCALL TECHNOLOGIES,Commercial Services,IT/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Profile By Sanford,PROFILE BY SANFORD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Profile By Sanford'),,,FALSE,1
Promotion,PROMOTION,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Prospiant,PROSPIANT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Prospiant'),,,FALSE,1
Prudent Growth Operation,PRUDENT GROWTH OPERATION,Commercial Real Estate,Investment/property (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Quality Controls,QUALITY CONTROLS,Commercial Services,QA/testing services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Quality Industries Dba Anchor Fabrication TN,QUALITY INDUSTRIES DBA ANCHOR FABRICATION TN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Quality Industries Dba Anchor Fabrication Tn'),,,FALSE,1
Quandell Group,QUANDELL GROUP,Commercial Services,Construction services/engineering (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Questar,QUESTAR,Commercial Services,Ambiguous (utilities/telecom?),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Ra Phillips Industries,RA PHILLIPS INDUSTRIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ra Phillips Industries Inc'),,,FALSE,1
Ramsey Pike,RAMSEY PIKE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ramsey Pike Llc'),,,FALSE,1
Ramseys,RAMSEYS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ramsey'S'),,,FALSE,1
Reececampbell,REECECAMPBELL,Commercial Services,Professional services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Reinhart Food Service Johnson City,REINHART FOOD SERVICE JOHNSON CITY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Reinhart Food Service Johnson City'),,,FALSE,1
Reinhart Foodservice,REINHART FOODSERVICE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Reinhart Foodservice Llc'),,,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Rejay Group Llc'),,,FALSE,1
Resistatemps,RESISTATEMPS,Commercial Services,Products/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Rgbs Enterprises,RGBS ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Rich Products Gallatin,RICH PRODUCTS GALLATIN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Rich Products Gallatin'),,,FALSE,1
Richmond Auto Parts Technology,RICHMOND AUTO PARTS TECHNOLOGY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Richmond Auto Parts Technology Inc'),,,FALSE,1
Ridge K,RIDGE K,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Ridge K, Llc')",,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Riverside Industrial Inc'),,,FALSE,1
Rivian,RIVIAN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Rivian'),,,FALSE,1
Robert W Baird and,ROBERT W BAIRD AND,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Robert W. Baird & Co., Inc')",,,FALSE,1
Rockquest,ROCKQUEST,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Rockquest'),,,FALSE,1
Rocktenn,ROCKTENN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Rock-Tenn Company'),,,FALSE,1
Rocky Top Nutrition Billing,ROCKY TOP NUTRITION BILLING,Commercial Services,Retail/health services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Royal Services,ROYAL SERVICES,Commercial Services,Services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sakscom,SAKSCOM,Commercial Services,E-commerce/retail ops (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sams Club FC9475,SAMS CLUB FC9475,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Sam'S Club Fc9475'),,,FALSE,1
Sandpiper Data Systems,SANDPIPER DATA SYSTEMS,Commercial Services,IT/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Satco,SATCO,Manufacturing,Lighting products (ambiguous entity),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,2
Savor Seasonings,SAVOR SEASONINGS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Savor Seasonings'),,,FALSE,1
Scenic Industries,SCENIC INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Schaad Companies,SCHAAD COMPANIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Schaad Companies'),,,TRUE,2
Schumacher Dugan,SCHUMACHER DUGAN,Commercial Services,Professional services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sci,SCI,Commercial Services,Ambiguous acronym,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Scos,SCOS,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Serta Simmons Bedding,SERTA SIMMONS BEDDING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Serta Simmons Bedding'),,,FALSE,1
Sew Eurodrive,SEW EURODRIVE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Sew Eurodrive'),,,FALSE,1
Shares,SHARES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sherwood Midwest,SHERWOOD MIDWEST,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Sherwood Midwest, Llc')",,,FALSE,1
Shook,SHOOK,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Shook, Inc.')",,,FALSE,1
Shoot Point Blank,SHOOT POINT BLANK,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Shoot Point Blank'),,,TRUE,2
Singleton Companies,SINGLETON COMPANIES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Skico,SKICO,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sl Tennessee,SL TENNESSEE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Smobee,SMOBEE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Solid Blend Technologies,SOLID BLEND TECHNOLOGIES,Commercial Services,Industrial services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Soltech,SOLTECH,Commercial Services,Technology/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
South Western Communications,SOUTH WESTERN COMMUNICATIONS,Commercial Services,Telecom/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Southern Tennesee Regional,SOUTHERN TENNESEE REGIONAL,Commercial Services,Healthcare or government (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,4
Spohn Global Enterprises,SPOHN GLOBAL ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sssb,SSSB,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Step Resources,STEP RESOURCES,Commercial Services,Energy/resources (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Stoermeranderson,STOERMERANDERSON,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Stoermer-Anderson, Inc')",,,FALSE,1
Stratford,STRATFORD,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sumlex Investments,SUMLEX INVESTMENTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Sumlex Investments Llc'),,,FALSE,1
Summit Express Powell,SUMMIT EXPRESS POWELL,Commercial Services,Retail/service location (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sunbelt Rentals 1466,SUNBELT RENTALS 1466,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Sunbelt Rentals, Inc #1466')",,,FALSE,1
Swaggertys Sausage,SWAGGERTYS SAUSAGE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Swaggertys Sausage Co Inc'),,,FALSE,1
Systecon,SYSTECON,Commercial Services,Consulting/engineering (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
T Rex Arms,T REX ARMS,Commercial Services,Retail (ambiguous),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1
Tallulah,TALLULAH,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tallulah Llc'),,,FALSE,1
Tamsah Enterprises,TAMSAH ENTERPRISES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tamsah Enterprises'),,,FALSE,1
Taylored Fmi,TAYLORED FMI,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Taylored Fmi Llc.'),,,FALSE,1
Techmah Cmf,TECHMAH CMF,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Tenbarge,TENBARGE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Tera Data,TERA DATA,Commercial Services,Technology (unclear entity string),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Thermatronx,THERMATRONX,Manufacturing,Industrial equipment (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Thoma and Sutton Ofc,THOMA AND SUTTON OFC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Thoma & Sutton Corporation Ofc'),,,FALSE,1
Thomas Clark Solutions,THOMAS CLARK SOLUTIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Thomas Clark Solutions Llc'),,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Thoth Llc'),,,FALSE,1
Three Bond International,THREE BOND INTERNATIONAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Three Bond International Inc.'),,,FALSE,1
Tipton Interest,TIPTON INTEREST,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tipton Interest Inc'),,,TRUE,2
Tipton Mills Foods,TIPTON MILLS FOODS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tipton Mills Foods Llc'),,,FALSE,1
Tolsma Legacy Trust,TOLSMA LEGACY TRUST,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tolsma Legacy Trust'),,,FALSE,1
Tomz,TOMZ,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Tomz Corp'),,,FALSE,1
Top Seed Tennis Club,TOP SEED TENNIS CLUB,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Top Seed Tennis Club'),,,FALSE,1
Topy America,TOPY AMERICA,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Topy America, Inc.')",,,FALSE,1
Town and Country Industries,TOWN AND COUNTRY INDUSTRIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Town & Country Industries'),,,FALSE,1
Toyo Automotive Parts USA,TOYO AUTOMOTIVE PARTS USA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Toyo Automotive Parts Usa Inc'),,,FALSE,1
Toyota Tsusho,TOYOTA TSUSHO,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Toyota Tsusho'),,,TRUE,2
Trade Mark Industrial,TRADE MARK INDUSTRIAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Trade Mark Industrial Llc'),,,FALSE,1
