Master Customer Name,Original Name,Initial Clean Name,Type
161 SPRINGMILL PROPERTIES,161 Springmill Properties Llc C/O Kennmar Llc,161 SPRINGMILL PROPERTIES,C/O Strip
3665 MALLORY JV,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 MALLORY JV,C/O Strip
3LS PROPERTIES CHATTANOOGA,3Ls Properties Chattanooga C/O Realty Trust Group,3LS PROPERTIES CHATTANOOGA,C/O Strip
45NINETY CONSTRUCTION,45 Ninety Construction,45 NINETY CONSTRUCTION,Fuzzy Merge
8200 HAVERSTICK,8200 Haverstick Llc C/O Jll,8200 HAVERSTICK,C/O Strip
ALL ELEVEN,All Eleven C/O Nai,ALL ELEVEN,C/O Strip
AMAZON,"Amazon Data Services, Inc.",AMAZON,Chain Rule
AMAZON,Amazon.Com,AMAZON,Chain Rule
AMAZON,Amazon.Com Services Llc,AMAZON,Chain Rule
AMAZON,Amazon.Com Services Llc,AMAZON,Chain Rule
AMCOR RIGIDS,Amcor Rigids C/O Aramark Gbs Facility Operations Center,AMCOR RIGIDS,C/O Strip
AMERIPLEX 2,Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc,AMERIPLEX 2,C/O Strip
ARCHDIOCESE OF CINCINNATI,Archdioceses Of Cincinnati,ARCHDIOCESES OF CINCINNATI,Fuzzy Merge
ARK BROOKVALE,Ark Llc - Brookvale C/O Avison Young,ARK BROOKVALE,C/O Strip
ARVATO DIGITAL USA,Arvato Digital Usa Llc C/O Accounts Payable,ARVATO DIGITAL USA,C/O Strip
ATRIUM LP,Atrium Lp C/O Commercial & Investmentproperties,ATRIUM LP,C/O Strip
AURORA PROPERTIES,Aurora Properties Llc C/O Avison Young,AURORA PROPERTIES,C/O Strip
BC TERMINALS,Bc Terminals Llc C/O Commercial & Investment Properties,BC TERMINALS,C/O Strip
BLUE ASH ACQUISTIONS,Blue Ash Acquistions C/O Collier,BLUE ASH ACQUISTIONS,C/O Strip
BLUE HOLDINGS,Blue Holdings Llc Co Foundry Commerical Llc,BLUE HOLDINGS,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc C/O Lakeside Centre Realty Partners Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Brookvale Ii, Llc.",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Brookview Promenade, Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Cross Park Plaza Association, Inc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Pellissippi South, Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Two Lakeside Realty, Llc",BLUE RIDGE REALTY,C/O Strip
BLUEGRASS COMMUNITY HOSPITAL,Bluegrass Community Hospital C/O Lifepoint,BLUEGRASS COMMUNITY HOSPITAL,C/O Strip
BURKEAILEY CONSTRUCTION,Burke-Ailey Construction Co Inc,BURKEAILEY CONSTRUCTION,C/O Strip
CANAL WINCHESTER LOGISTICS,Canal Winchester Logistics Llc C/O Jll,CANAL WINCHESTER LOGISTICS,C/O Strip
CAZANA FAMILY DCP GENERAL PARTNERSHIP,Cazana Family Dcp General Partnership C/O Commercial & Investmen,CAZANA FAMILY DCP GENERAL PARTNERSHIP,C/O Strip
CBRE,Cbre Gws Llc,CBRE,Chain Rule
CBRE,Cbre Novartis Fm,CBRE,Chain Rule
CGM CAPITAL HOLDINGS,Cgm Capital Holdings C/O Harrell Tague 10531D,CGM CAPITAL HOLDINGS,C/O Strip
CH FOREST PARK PARTNERS GP,"Ch Forest Park Partners, Gp C/O Premier Property Management Llc",CH FOREST PARK PARTNERS GP,C/O Strip
CH HAZARD SHOPS,Ch Hazard Shops C/O Premier Property Mgmt Company,CH HAZARD SHOPS,C/O Strip
CHASE BANK,Chase Tower 707 Virginia St C/0 Jll Management Office,CHASE BANK,Chain Rule
CHEVY CHASE PLAZA,Chevy Chase Plaza Llc C/O Equity Management Group,CHEVY CHASE PLAZA,C/O Strip
CINCINNATI TOOLBANK,Cincinnati Tool Bank,CINCINNATI TOOL BANK,Fuzzy Merge
CINCY CHILDRENS MEDICAL HOSPITAL CTR,Cincy Childrens Medical Hospital Ctr C/O Cushman & Wakefield,CINCY CHILDRENS MEDICAL HOSPITAL CTR,C/O Strip
CITY OF LAWRENCE INDIANA,City Of Lawrence Indianna,CITY OF LAWRENCE INDIANNA,Fuzzy Merge
COI NEW ALBANY 525,Coi New Albany 525 Llc C/O Colliers,COI NEW ALBANY 525,C/O Strip
COI NEW ALBANY 525,"Coi New Albany 525, Llc. C/O Jll",COI NEW ALBANY 525,C/O Strip
COLLIERS,Colliers International,COLLIERS,Chain Rule
COLLIERS,Colliers International,COLLIERS,Chain Rule
COLLINS BOWLING CENTERS,Collins Bowling Centers Inc C/O Haymaker Property Mgt,COLLINS BOWLING CENTERS,C/O Strip
CORNERSTONE OWNERS ASSOCIATION,Cornerstone Owners Association C/O Providence Commercial Real,CORNERSTONE OWNERS ASSOCIATION,C/O Strip
CORPORATE SQUARE LP,Corporate Square L.P. C/O Commercial And Investment Properties,CORPORATE SQUARE LP,C/O Strip
CPIII GP,Cpiii Gp C/O Commercial & Investment Properties Inc,CPIII GP,C/O Strip
CREW HQ,Crew Hq C/O Alo Property Management,CREW HQ,C/O Strip
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Billing,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield C/O Gainwell Tech,CUSHMAN AND WAKEFIELD,C/O Strip
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Critical Solutions,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Fidelity,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Fidelity,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Fidelity,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Fidelity,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Humana,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Monroe,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,"Cushman & Wakefield U.S., Inc.",CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield Us Inc,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefield/Cornerstone,CUSHMAN AND WAKEFIELD,Chain Rule
CUSHMAN AND WAKEFIELD,Cushman & Wakefiled Us Inc - Humana,CUSHMAN AND WAKEFIELD,Chain Rule
DDC DOWELL SPRINGS,Ddc Dowell Springs Llc C/O Realty Trust Group Llc,DDC DOWELL SPRINGS,C/O Strip
DERMATOLOGY ASSOC OF KY,Dermatology Assoc Of Ky C/O Haymaker Property Management,DERMATOLOGY ASSOC OF KY,C/O Strip
DO NOT USE KNOXVILLE PROPERTIES PARTNERSHIP2CS,Do Not Use Knoxville Properties Partnership-2Cs C/O Avison Young,DO NOT USE KNOXVILLE PROPERTIES PARTNERSHIP2CS,C/O Strip
DOWNTOWN WEST VILLAGE II OWNERS ASSOCIATION,Downtown West Village Ii Owners Association Inc C/O Blue Ridge R,DOWNTOWN WEST VILLAGE II OWNERS ASSOCIATION,C/O Strip
DTWP,Dtwp C/O Nai,DTWP,C/O Strip
DTWPH2,Dtwph2 C/O Nai,DTWPH2,C/O Strip
ELLIS ROAD INDUSTIRIAL,Ellis Road Industirial Llc C/O Cbre,ELLIS ROAD INDUSTIRIAL,C/O Strip
EV BISHOFF,Ev Bishoff C/O Princeton Hill Properties Llc,EV BISHOFF,C/O Strip
EVENFLO,Evenflo Co Inc,EVENFLO,C/O Strip
FARRAGUT POINTE,Farragut Pointe C/O Flagship Healthcare Properties,FARRAGUT POINTE,C/O Strip
FISHERS MEDICAL GROUP,Fishers Medical Group C/O Alo Property Management,FISHERS MEDICAL GROUP,C/O Strip
FLAGSHIP HEALTHCARE PROPERTIES,Flagship Alysheba Lexington Llc C/O Flagship Healthcare Property,FLAGSHIP HEALTHCARE PROPERTIES,"C/O Strip, Chain Rule"
FLAGSHIP HEALTHCARE PROPERTIES,Flagship Knoxville Parkside Llc C/O Flagship Healthcare Properti,FLAGSHIP HEALTHCARE PROPERTIES,"C/O Strip, Chain Rule"
FLAGSHIP HEALTHCARE PROPERTIES,Flagship New Albany Grant Line Llc C/O Flagship Healthcare Prope,FLAGSHIP HEALTHCARE PROPERTIES,"C/O Strip, Chain Rule"
FLAGSHIP HEALTHCARE PROPERTIES,Flagship Physicians Jackson Llc C/O Flagship Healthcare Properti,FLAGSHIP HEALTHCARE PROPERTIES,"C/O Strip, Chain Rule"
FLAT ROCK INDUSTRIAL HOLDINGS LP,Flat Rock Industrial Holdings Lp C/O Cbre,FLAT ROCK INDUSTRIAL HOLDINGS LP,C/O Strip
FRITZ FARM RETAIL,Fritz Farm Retail Company Llc C/O Bayer Properties Llc,FRITZ FARM RETAIL,C/O Strip
GALATIANS TOO,Galatians Too Llc C/O Equity,GALATIANS TOO,C/O Strip
GEORGETOWN COMMUNITY HOSPITAL,Georgetown Community Hospital C/O Jones Lang Lasale Americas Inc,GEORGETOWN COMMUNITY HOSPITAL,C/O Strip
GOOD HUBER MOB,Good Huber Mob Llc C/O Equity,GOOD HUBER MOB,C/O Strip
GPCM LOCKERBIE PARTNERS,Gp-Cm Lockerbie Partners Llc C/O Citimark Management,GPCM LOCKERBIE PARTNERS,C/O Strip
GREEN HILLS OFFICE PARTNERS,Green Hills Office Partners Llc C/O Brookside Properties Inc,GREEN HILLS OFFICE PARTNERS,C/O Strip
HAMILTON HEALTH CARE SYSTEM,Hamilton Health Care System C/O Realty Trust Group,HAMILTON HEALTH CARE SYSTEM,C/O Strip
HASFAM,Hasfam Llc C/O Premier Property Management Llc,HASFAM,C/O Strip
HENDERSONVILLE HF ASSETS,Hendersonville Hf Assets C/O Premier Property Management Llc,HENDERSONVILLE HF ASSETS,C/O Strip
HH PARKSIDE,Hhb Parkside Llc,HHB PARKSIDE,Fuzzy Merge
HMW LOGISTICS 10,Hmw Logistics 10 Llc C/O Jll Property Management,HMW LOGISTICS 10,C/O Strip
HOLROB JOHNSON CITY I,Holrob Johnson City I C/O Realty Trust Group,HOLROB JOHNSON CITY I,C/O Strip
HOLROB SCHAFFLER PARTNERSHIP,Holrob - Schaffler Partnership C/O Premier Property Management L,HOLROB SCHAFFLER PARTNERSHIP,C/O Strip
HOLROB SCHAFFLER PARTNERSHIP,Holrob - Schaffler Partnership I C/O Premier Property Management,HOLROB SCHAFFLER PARTNERSHIP I,"C/O Strip, Fuzzy Merge"
HOLROB SCHAFFLER PARTNERSHIP VI,Holrob - Schaffler Partnership Vi C/O Premier Property Managemen,HOLROB SCHAFFLER PARTNERSHIP VI,C/O Strip
HOLROB SOUTHERN HOLDING GP,Holrob Southern Holding Gp C/O Premier Property Management Llc,HOLROB SOUTHERN HOLDING GP,C/O Strip
HOLROB SPUR GP,Holrob Spur Gp C/O Premier Property Management Llc,HOLROB SPUR GP,C/O Strip
HOME DEPOT,Home Depot Usa Inc,HOME DEPOT,Chain Rule
HUNTINGTON BANK,Huntington Bowling Llc Dba Strikezone,HUNTINGTON BANK,Chain Rule
HYDRONIC AND STEAM EQUIPMENT,Hydronic & Steam Equipment Co Inc,HYDRONIC AND STEAM EQUIPMENT,C/O Strip
IDI LOGISTICS SERVICES GROUP,Idi Logistics Services Group Llc C/O Jll Property Management,IDI LOGISTICS SERVICES GROUP,C/O Strip
IDIL POND STATION,Idil Pond Station Llc C/O Jll,IDIL POND STATION,C/O Strip
IU HEALTH,"Iu Health C/O Cornerstone Companies, Inc.",IU HEALTH,C/O Strip
JACKSON CONTROL,Jackson Control Co Inc,JACKSON CONTROL,C/O Strip
JESSAMINE,Jessamine Co Fiscal Court,JESSAMINE,C/O Strip
JESSIES LANDING CONDOMINIUM,Jessies Landing Condominium C/O Towne Properties,JESSIES LANDING CONDOMINIUM,C/O Strip
JLL,Jll Industrial Property Management,JLL,Chain Rule
K AND L ALLSTAR INVESTMENTS,K&L Allstar Investments Llc C/O Equity,K AND L ALLSTAR INVESTMENTS,C/O Strip
KHDAR,"Khd-Ar, Llc C/O Neyer Management",KHDAR,C/O Strip
KNOXVILLE EYE CARE ASSOCIATES,Knoxville Eye Care Associates C/O Realty Trust Group,KNOXVILLE EYE CARE ASSOCIATES,C/O Strip
KNOXVILLE PROPERTIES PARTNERSHIPAPP,Knoxville Properties Partnership-App C/O Avison Young,KNOXVILLE PROPERTIES PARTNERSHIPAPP,C/O Strip
KROGER,Kroger Logistics,KROGER,Chain Rule
LAND OAK 2,Land Oak 2 C/O Nai,LAND OAK 2,C/O Strip
LANDEN SQUARE 3,Landen Square 3 Llc Co Integris Ventures,LANDEN SQUARE 3,C/O Strip
LAZARUS PARTNERSHIP NMP,Lazarus Partnership - Nmp C/O Avison Young,LAZARUS PARTNERSHIP NMP,C/O Strip
LEGACY TRAIL,Legacy Trail Llc C/O Cbre,LEGACY TRAIL,C/O Strip
LOWES,Lowes 3311,LOWES,Chain Rule
MAYFIELD MEDICAL,Mayfield Medical Llc C/O Crown Medrealty,MAYFIELD MEDICAL,C/O Strip
MIDSOUTH BUILDING III REIT,Midsouth Building Iii Reit Llc C/O Foundry Commercial,MIDSOUTH BUILDING III REIT,C/O Strip
MIG PARTNERS,Mig Partners C/O Avison Young,MIG PARTNERS,C/O Strip
MT HOLDINGS,Mt Holdings C/O Nai Nashville Stanton Group,MT HOLDINGS,C/O Strip
NASHVILLE OFFICE 1,Nashville Office 1 Llc C/O Foundry Commercial,NASHVILLE OFFICE 1,C/O Strip
NEW ALBANY COMMERCE I AND II,New Albany Commerce I & Ii C/O Cbre,NEW ALBANY COMMERCE I AND II,C/O Strip
NORTHPOINT DEVELOPMENT,Norhtpoint Development,NORHTPOINT DEVELOPMENT,Fuzzy Merge
O AND M HOLDINGS,"O&M Holdings, Llc C/O Ims Inc",O AND M HOLDINGS,C/O Strip
OGARA HESS AND EISENHARGT ARMORING,O'Gara Hess & Eisenhargt Armoring Co Llc,OGARA HESS AND EISENHARGT ARMORING,C/O Strip
OLIVERTOLAS HEALTHCARE PACKAGING,Oliver - Tolas Healthcare Packaging,OLIVER TOLAS HEALTHCARE PACKAGING,Fuzzy Merge
ORANGETHEORY FITNESS,Orange Theory Fitness Ironworks,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orange Theory Fitness West Lafayette,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orange Theory West Carmel- Zionsville,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orangetheory Fitness Broad Ripple,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orangetheory Fitness Fishers Geist,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orangetheory Fitness Nickle Plate,ORANGETHEORY FITNESS,Chain Rule
ORANGETHEORY FITNESS,Orangetheory Fitness Noblesville,ORANGETHEORY FITNESS,Chain Rule
OTC INDUSTRIAL TECHNOLOGIES,Otc Industrial Technologies C/O Otc,OTC INDUSTRIAL TECHNOLOGIES,C/O Strip
PARK SOUTH B,Park South B Llc C/O Jll Property Management,PARK SOUTH B,C/O Strip
PARK WEST N2,Park West N-2 Llc C/O Jll Property Management,PARK WEST N2,C/O Strip
PERFECTION SERVICES,"Perfection Service, Cincinnati",PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,"Perfection Service, Louisville",PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,Perfection Services Columbus,PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,Perfection Services Indiana,PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,Perfection Services Of Dayton,PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,"Perfection Services, Tennessee",PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,"Perfection Services, Wv",PERFECTION SERVICES,Chain Rule
PERFECTION SERVICES,"Perfection Services,Central Ky",PERFECTION SERVICES,Chain Rule
PERFORMANCE PLACE GROUP,Performance Place Group C/O Turner Properties,PERFORMANCE PLACE GROUP,C/O Strip
PNC BANK,Pnc Bank National Association,PNC BANK,Chain Rule
PNC BANK,Pnc Realty Services,PNC BANK,Chain Rule
POINT BLANK RANGE AND GUNSHOP,Point Blank Range & Gun Shop,POINT BLANK RANGE AND GUN SHOP,Fuzzy Merge
PPA CASTLE CREEK I AND II LP,"Ppa Castle Creek I & Ii, Lp C/O Bradley Company",PPA CASTLE CREEK I AND II LP,C/O Strip
PROVIDENCE COMMERCIAL REAL ESTATE,Providence Commercial Real Estate C/O Pediatric Associates Of Kn,PROVIDENCE COMMERCIAL REAL ESTATE,C/O Strip
PROVIDENCE COMMERCIAL REAL ESTATE,Providence Commercial Real Estate C/O Rm Development Llc,PROVIDENCE COMMERCIAL REAL ESTATE,C/O Strip
PROVIDENCE COMMERCIAL REAL ESTATE,Providence Commercial Real Estate C/O Rodefer Moss & Co Pllc,PROVIDENCE COMMERCIAL REAL ESTATE,C/O Strip
PROVIDENCE COMMERCIAL REAL ESTATE,Providence Commercial Real Estate C/O The Offices At Waters Edge,PROVIDENCE COMMERCIAL REAL ESTATE,C/O Strip
PRUDENT VENTURES,Prudent Ventures Llc C/O Horizon Commerical Realty,PRUDENT VENTURES,C/O Strip
PYRAMIDS PARK PROPERTIES,Pyramids Park Properties Llc C/O Kennmar Llc,PYRAMIDS PARK PROPERTIES,C/O Strip
RADIUS CONSTRUCTION,Radius Construction Co Inc,RADIUS CONSTRUCTION,C/O Strip
RALEIGH GENERAL HOSPITAL,Raleigh General Hospital C/O Jones Lang Lasalle Americas Inc,RALEIGH GENERAL HOSPITAL,C/O Strip
REAL ESTATE PLACE COUNCIL OF,Real Estate Place Council Of Co Owners,REAL ESTATE PLACE COUNCIL OF,C/O Strip
SAMUEL ADAMS BREWING,Samuel Adams Brewing Co Ltd C/O The Boston Beer Company,SAMUEL ADAMS BREWING,C/O Strip
SCI,Sci C/O Nai Koella Rm Moore,SCI,C/O Strip
SCOS,Scos C/O Nai,SCOS,C/O Strip
SOUTH COAST MANAGMENT,South Coast Managment Llc C/O Karch'S Crossing,SOUTH COAST MANAGMENT,C/O Strip
SOUTH TN REGIONAL PULASKI,South Tn Regional Pulaski C/O Jones Lang Lasalle Americas Inc,SOUTH TN REGIONAL PULASKI,C/O Strip
SOUTH TN REGIONAL PULASKI,South Tn Regional Pulaski C/O Jones Lang Lasalle Americas Inc,SOUTH TN REGIONAL PULASKI,C/O Strip
SOUTH TN REGIONAL PULASKI,South Tn Regional Pulaski C/O Jones Lang Lasalle Americas Inc,SOUTH TN REGIONAL PULASKI,C/O Strip
SOUTH TN REGIONAL SEWANEE,South Tn Regional Sewanee C/O Jones Lang Lasalle Americas Inc,SOUTH TN REGIONAL SEWANEE,C/O Strip
SPT IVEY DOWELL SPRINGS MOB,Spt Ivey Dowell Springs Mob Llc C/O Flagship Helathcare Properti,SPT IVEY DOWELL SPRINGS MOB,C/O Strip
SPT IVEY OLD WEISGARBER MOB,Spt Ivey Old Weisgarber Mob Llc C/O Flagship Healthcare Properti,SPT IVEY OLD WEISGARBER MOB,C/O Strip
STAG HEBRON,"Stag Hebron, Llc C/O Colliers International",STAG HEBRON,C/O Strip
STAG INDUSTRIAL,Stag Industrial Llc C/O Jll Property Management,STAG INDUSTRIAL,C/O Strip
SUN CHEMICAL,Sun Chemicals Corp,SUN CHEMICALS,Fuzzy Merge
SWAGGERTYS SAUSAGE,Swaggertys Sausage Co Inc,SWAGGERTYS SAUSAGE,C/O Strip
TARGET,Target Management & Leasing Inc,TARGET,Chain Rule
TARGET,The Target Group,TARGET,Chain Rule
THERMAL CARE,Thermal Care Inc C/O Pgna Inc,THERMAL CARE,C/O Strip
THOMPSON LOGISTICS ASSETS,Thompson Logistics Assets Llc  C/O Cushman & Wakefield,THOMPSON LOGISTICS ASSETS,C/O Strip
TIPTON INTEREST,Tipton Interests,TIPTON INTERESTS,Fuzzy Merge
TOWER CONDOMINIUMS,Tower Condominiums C/O Stanton Group,TOWER CONDOMINIUMS,C/O Strip
UHAUL,Uhaul Co Of Kentucky,UHAUL,C/O Strip
UNION STATION,Union Station C/O Kennmar,UNION STATION,C/O Strip
UPS,Ups Supply Chain Solutions,UPS,Chain Rule
UPS,Upstream Rehilbilitation,UPS,Chain Rule
USCIF ELAM FARMS DC,Uscif Elam Farms Dc Llc C/O Cushman & Wakefiled Inc,USCIF ELAM FARMS DC,C/O Strip
VCM SMYRNA LP,Vcm Smyrna Lp C/O Cbre,VCM SMYRNA LP,C/O Strip
WALL STREET PARTNERS II,Wall Street Partners Ii Llc C/O Haymaker Property Mgt,WALL STREET PARTNERS II,C/O Strip
WALMART,Walmart - Truck Shop,WALMART,Chain Rule
WALMART,Walmart Dc Ind3,WALMART,Chain Rule
WALMART,Walmart Dc6017,WALMART,Chain Rule
WALMART,Walmart Distribution Center,WALMART,Chain Rule
WALMART,Walmart Distribution Center,WALMART,Chain Rule
WALMART,Walmart Distribution Center,WALMART,Chain Rule
WALMART,Wal-Mart Distribution Center - Shelbyville,WALMART,Chain Rule
WALMART,Walmart Fc 3968,WALMART,Chain Rule
WALMART,Walmart Fc 7520 Ind2,WALMART,Chain Rule
WALMART,Walmart Fc4124 Bna1 Maintenance,WALMART,Chain Rule
WALMART,Walmart Fulfillment Center 3968,WALMART,Chain Rule
WALMART,Walmart Ind1,WALMART,Chain Rule
WALMART,Walmart Return Center 9193,WALMART,Chain Rule
WALMART,Walmart Stores Inc,WALMART,Chain Rule
WALMART,Walmart Transportation,WALMART,Chain Rule
WE ONEIL CONSTRUCTION,We O'Neil Construction Co Of Tennessee,WE ONEIL CONSTRUCTION,C/O Strip
WELLTOWER,Welltower Inc - Bu#39040101,WELLTOWER,Chain Rule
WELLTOWER,Welltower Om Group Llc C/O Meadows & Ohly Llc,WELLTOWER,"C/O Strip, Chain Rule"
WINDSOR SQUARE,"Windsor Square, Llc C/O Southern Management And Development",WINDSOR SQUARE,C/O Strip
ZIONSVILLE REALTY PARTNERS,Zionsville Realty Partners Llc C/O Cushman & Wakefield,ZIONSVILLE REALTY PARTNERS,C/O Strip
